FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
radiator,BOSS-2014 (v.2),42,0,4,2,0,0.09523809523809523,0.047619047619047616,36,Radiator,16,0.38095238095238093,0.4444444444444444,11,2.488554862192845,42,4.380952380952381,0.8821365679453428,42,2.4285714285714284,1.0625064049817194,32,0,32,Building infrastructure,19,0,0.59375,0.59375,1.5792028044502626
shopvac,BOSS-2014 (v.2),42,0,2,2,0,0.047619047619047616,0.047619047619047616,38,vacuum,15,0.35714285714285715,0.39473684210526316,9,2.517279660999955,42,4.380952380952381,0.9093653898798142,42,2.4523809523809526,1.0406935059309612,33,1,34,Hand labour tool & accessory,15,0,0.45454545454545453,0.4411764705882353,1.4320693354719216
soccercleat01,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Soccer cleat,11,0.2619047619047619,0.2619047619047619,9,2.591906217675249,42,4.380952380952381,0.9358022761866657,42,2.4285714285714284,1.1292746893656174,33,11,44,Clothing,18,6,0.5454545454545454,0.5454545454545454,0.9940302114769566
treetrunk,BOSS-2014 (v.2),42,2,0,0,0.047619047619047616,0,0,40,Tree trunk,15,0.35714285714285715,0.375,12,2.859986547010987,42,4.380952380952381,0.9358022761866657,42,2.5714285714285716,1.3818131803920624,33,0,33,Natural element,30,0,0.9090909090909091,0.9090909090909091,0.5229784263810124
chipmunk,BOSS-2014 (v.2),42,1,2,3,0.023809523809523808,0.047619047619047616,0.07142857142857142,36,Chipmunk,24,0.5714285714285714,0.6666666666666666,8,1.8145364592347781,41,4.365853658536586,0.8589556903873332,41,3.024390243902439,1.4745813792064646,32,1,33,Mammal,31,0,0.96875,0.9393939393939394,0.2006223243127146
moon,BOSS-2014 (v.2),42,5,0,0,0.11904761904761904,0,0,37,Moon,29,0.6904761904761905,0.7837837837837838,8,1.347792585664096,41,4.365853658536586,1.1125667971177193,41,2.5121951219512195,1.4339098859327282,33,0,33,Natural element,22,0,0.6666666666666666,0.6666666666666666,1.5408404643782267
smartboard,BOSS-2014 (v.2),42,2,0,0,0.047619047619047616,0,0,40,white board,24,0.5714285714285714,0.6,13,2.2807095825937473,41,4.365853658536586,0.8589556903873332,42,1.619047619047619,0.8821365679453425,32,0,32,Stationary & school supply,23,0,0.71875,0.71875,1.134580954883921
triangleruler01,BOSS-2014 (v.2),41,0,5,5,0,0.12195121951219512,0.12195121951219512,31,Ruler,7,0.17073170731707318,0.22580645161290322,15,3.4328653601052563,41,4.365853658536586,0.9684032621014761,41,1.6341463414634145,0.7666843405527339,32,0,32,Stationary & school supply,30,0,0.9375,0.9375,0.3997900666170139
watervalve,BOSS-2014 (v.2),42,0,7,9,0,0.16666666666666666,0.21428571428571427,26,Water valve,4,0.09523809523809523,0.15384615384615385,15,3.671405583442496,41,4.365853658536586,0.7986268703523444,41,2.3902439024390243,1.0217154393589196,32,2,34,Building material,13,0,0.40625,0.38235294117647056,2.1798536930233805
clover,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Clover,18,0.42857142857142855,0.42857142857142855,7,2.2529689097922643,42,4.357142857142857,0.9323829573164001,42,2.119047619047619,1.193526869375391,33,0,33,Natural element,31,0,0.9393939393939394,0.9393939393939394,0.39045213081320695
